,acc,rej
0,0.0,1.0
1,0.0,1.0
2,0.0,1.0
3,0.0,1.0
4,0.0,1.0
5,0.0,1.0
6,0.0,1.0
7,0.0,1.0
8,0.0,1.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,0.0,1.0
14,0.0,1.0
15,0.0,1.0
16,0.0,1.0
17,0.0,1.0
18,0.0,1.0
19,0.0,1.0
20,0.0,1.0
21,0.0,0.9999343875073814
22,0.0,0.9998687750147628
23,0.0,0.9998687750147628
24,0.0,0.9998687750147628
25,0.0,0.9998687750147628
26,0.0,0.9998687750147628
27,0.0,0.9998687750147628
28,0.0,0.9998687750147628
29,0.0,0.9998031625221442
30,0.0,0.9998031625221442
31,0.0,0.9998031625221442
32,0.0,0.9998031625221442
33,0.0,0.9997375500295256
34,0.0,0.9997375500295256
35,0.0,0.9997375500295256
36,0.0,0.9996063250442885
37,0.0,0.9996063250442885
38,0.0,0.9996063250442885
39,0.0,0.9995407125516699
40,0.0,0.9994751000590513
41,0.0,0.9994094875664327
42,0.0,0.9994094875664327
43,0.0,0.9994094875664327
44,0.0,0.9994094875664327
45,0.0,0.9993438750738141
46,0.0,0.9993438750738141
47,0.0,0.9993438750738141
48,0.0,0.9993438750738141
49,0.0,0.9992782625811955
50,0.0,0.9992782625811955
51,0.0,0.9992126500885768
52,0.0,0.9991470375959582
53,0.0,0.9991470375959582
54,0.0,0.9991470375959582
55,0.0,0.9991470375959582
56,0.0,0.9991470375959582
57,0.0,0.9990814251033396
58,0.0,0.9990814251033396
59,0.0,0.9990814251033396
60,0.0,0.9990814251033396
61,0.0,0.9990814251033396
62,0.0005730659025787732,0.9990814251033396
63,0.0005730659025787732,0.9988845876254839
64,0.0011461318051575464,0.9988845876254839
65,0.0011461318051575464,0.9988845876254839
66,0.0011461318051575464,0.9988845876254839
67,0.0011461318051575464,0.9988189751328653
68,0.0011461318051575464,0.9986877501476281
69,0.0011461318051575464,0.9985565251623909
